EDT,variable,value
2012-03-16, Mean VisibilityMiles,10
2012-03-16, Min VisibilityMiles,10
2012-03-16, Mean Wind SpeedMPH,5
2012-03-17,MeanDew PointF,54
2012-03-17, Mean Humidity,78
2012-03-17, Min VisibilityMiles,0
2012-03-17, Mean VisibilityMiles,5
2012-03-17,Max Humidity,100
2012-03-17,Min TemperatureF,46
2012-03-17, Max Sea Level PressureIn,30.15
2012-03-17, Mean Sea Level PressureIn,30.11
2012-03-17, Min Humidity,56
2012-03-17,Min DewpointF,46
2012-03-17, Max Gust SpeedMPH,17.0
2012-03-17, Max Wind SpeedMPH,12
2012-03-17, Events,Fog-Thunderstorm
2012-03-17, Max VisibilityMiles,10
2012-03-17,Max Dew PointF,60
2012-03-17, Mean Wind SpeedMPH,5
2012-03-17, Min Sea Level PressureIn,30.04
2012-03-17,PrecipitationIn,T
2012-03-17, CloudCover,3
2012-03-17,Mean TemperatureF,62
2012-03-17, WindDirDegrees,162
2012-03-17,Max TemperatureF,78
2012-03-18, Max Wind SpeedMPH,18
2012-03-18,MeanDew PointF,58
2012-03-18, Min Humidity,45
2012-03-18, Mean VisibilityMiles,10
2012-03-18,Max TemperatureF,80
2012-03-18,Min TemperatureF,59
2012-03-18, CloudCover,2
2012-03-18, Mean Wind SpeedMPH,8
2012-03-18,Max Dew PointF,61
2012-03-18,Max Humidity,93
2012-03-18, Mean Sea Level PressureIn,30.07
2012-03-18, WindDirDegrees,197
2012-03-18, Min Sea Level PressureIn,30.02
2012-03-18,PrecipitationIn,T
2012-03-18, Min VisibilityMiles,9
2012-03-18, Max Sea Level PressureIn,30.14
2012-03-18,Min DewpointF,57
2012-03-18, Events,Rain
2012-03-18, Mean Humidity,69
2012-03-18, Max Gust SpeedMPH,25.0
2012-03-18,Mean TemperatureF,70
2012-03-18, Max VisibilityMiles,10
2012-03-19,Max TemperatureF,84
2012-03-19, Mean VisibilityMiles,10
2012-03-19, Min Humidity,42
2012-03-19, Max VisibilityMiles,10
2012-03-19,Max Dew PointF,58
2012-03-19,MeanDew PointF,56
2012-03-19, Mean Humidity,66
2012-03-19,Min TemperatureF,59
2012-03-19, Min Sea Level PressureIn,29.98
2012-03-19, Max Sea Level PressureIn,30.09
2012-03-19,Mean TemperatureF,72
2012-03-19, Min VisibilityMiles,10
2012-03-19, Mean Wind SpeedMPH,6
2012-03-19,Max Humidity,90
2012-03-19, Mean Sea Level PressureIn,30.03
2012-03-19, WindDirDegrees,165
2012-03-19,Min DewpointF,50
2012-03-19,PrecipitationIn,0.00
2012-03-19, Max Wind SpeedMPH,17
2012-03-19, Max Gust SpeedMPH,23.0
2012-03-20,Mean TemperatureF,71
2012-03-20, Min VisibilityMiles,10
2012-03-20, Mean VisibilityMiles,10
2012-03-20,Min TemperatureF,58
2012-03-20, Max Sea Level PressureIn,30.09
2012-03-20, Mean Sea Level PressureIn,30.04
2012-03-20, WindDirDegrees,154
2012-03-20,Min DewpointF,50
2012-03-20, CloudCover,0
2012-03-20, Max VisibilityMiles,10
2012-03-20,Max Dew PointF,56
2012-03-20,Max TemperatureF,84
2012-03-20, Max Wind SpeedMPH,17
2012-03-20, Min Humidity,37
2012-03-20,PrecipitationIn,0.00
2012-03-20, Max Gust SpeedMPH,24.0
2012-03-20, Mean Wind SpeedMPH,5
2012-03-20,MeanDew PointF,54
2012-03-20, Mean Humidity,58
2012-03-20,Max Humidity,78
2012-03-20, Min Sea Level PressureIn,29.99
2012-03-21, Mean Sea Level PressureIn,30.07
2012-03-21, Min Humidity,32
2012-03-21,PrecipitationIn,0.00
2012-03-21, WindDirDegrees,152
2012-03-21,Min DewpointF,52
2012-03-21, Min VisibilityMiles,10
2012-03-21,Mean TemperatureF,71
2012-03-21, Max Sea Level PressureIn,30.14
2012-03-21, Min Sea Level PressureIn,30.02
2012-03-21, Max Gust SpeedMPH,23.0
2012-03-21,Max Humidity,84
2012-03-21,MeanDew PointF,54
2012-03-21, Mean VisibilityMiles,10
2012-03-21, Mean Wind SpeedMPH,6
2012-03-21,Max TemperatureF,84
2012-03-21,Max Dew PointF,56
2012-03-21,Min TemperatureF,57
2012-03-21, Max VisibilityMiles,10
2012-03-21, Max Wind SpeedMPH,17
2012-03-21, Mean Humidity,58
2012-03-22, Mean VisibilityMiles,10
2012-03-22, WindDirDegrees,159
2012-03-22, Events,Rain
2012-03-22, Mean Wind SpeedMPH,4
2012-03-22,PrecipitationIn,0.14
2012-03-22, Max VisibilityMiles,10
2012-03-22, Mean Humidity,65
2012-03-22,Min DewpointF,51
2012-03-22, Min Humidity,42
2012-03-22, Min Sea Level PressureIn,30.01
2012-03-22, CloudCover,3
2012-03-22,Max Humidity,87
2012-03-22, Mean Sea Level PressureIn,30.07
2012-03-22,MeanDew PointF,57
2012-03-22, Min VisibilityMiles,2
2012-03-22,Mean TemperatureF,69
2012-03-22,Max Dew PointF,63
2012-03-22,Min TemperatureF,57
2012-03-22, Max Sea Level PressureIn,30.11
2012-03-22,Max TemperatureF,81
2012-03-22, Max Wind SpeedMPH,31
2012-03-22, Max Gust SpeedMPH,41.0
2012-03-23, Min VisibilityMiles,2
2012-03-23, Events,Rain-Thunderstorm
2012-03-23,Min DewpointF,54
2012-03-23, Mean Humidity,79
2012-03-23, Mean Sea Level PressureIn,29.9
2012-03-23, Max VisibilityMiles,10
2012-03-23,Max Dew PointF,61
2012-03-23,MeanDew PointF,58
2012-03-23, Mean Wind SpeedMPH,6
2012-03-23, Min Sea Level PressureIn,29.76
2012-03-23, CloudCover,7
2012-03-23, Min Humidity,61
2012-03-23, WindDirDegrees,129
2012-03-23, Max Gust SpeedMPH,24.0
2012-03-23,Mean TemperatureF,64
2012-03-23,PrecipitationIn,0.86
2012-03-23, Max Wind SpeedMPH,21
2012-03-23,Min TemperatureF,55
2012-03-23, Max Sea Level PressureIn,30.03
2012-03-23, Mean VisibilityMiles,9
2012-03-23,Max Humidity,97
2012-03-23,Max TemperatureF,73
2012-03-24,Mean TemperatureF,56
2012-03-24,Min TemperatureF,46
2012-03-24, Mean VisibilityMiles,8
2012-03-24, Min Humidity,48
2012-03-24, Max Sea Level PressureIn,29.88
2012-03-24,MeanDew PointF,49
2012-03-24, Max Wind SpeedMPH,12
2012-03-24, Mean Humidity,80
2012-03-24,Max TemperatureF,65
2012-03-24,Max Humidity,100
2012-03-24, Mean Sea Level PressureIn,29.83
2012-03-24, Max Gust SpeedMPH,14.0
2012-03-24, Events,Fog-Rain
2012-03-24, Mean Wind SpeedMPH,5
2012-03-24, Max VisibilityMiles,10
2012-03-24, Min Sea Level PressureIn,29.79
2012-03-24, CloudCover,5
2012-03-24,PrecipitationIn,0.06
2012-03-24, WindDirDegrees,222
2012-03-24, Min VisibilityMiles,0
2012-03-24,Max Dew PointF,54
2012-03-24,Min DewpointF,43
2012-03-25, Mean VisibilityMiles,8
2012-03-25,Max Humidity,100
2012-03-25, Max VisibilityMiles,10
2012-03-25,Mean TemperatureF,61
2012-03-25,Min TemperatureF,52
2012-03-25, CloudCover,6
2012-03-25,Max Dew PointF,55
2012-03-25, Min Humidity,63
2012-03-25,Max TemperatureF,69
2012-03-25, Min VisibilityMiles,4
2012-03-25, Max Sea Level PressureIn,30.05
2012-03-25, Mean Wind SpeedMPH,5
2012-03-25, WindDirDegrees,353
2012-03-25, Min Sea Level PressureIn,29.88
2012-03-25,MeanDew PointF,53
2012-03-25, Mean Sea Level PressureIn,29.96
2012-03-25,PrecipitationIn,0.00
2012-03-25, Max Wind SpeedMPH,14
2012-03-25, Max Gust SpeedMPH,20.0
2012-03-25,Min DewpointF,51
2012-03-25, Mean Humidity,82
2012-03-26, Max VisibilityMiles,10
2012-03-26,MeanDew PointF,38
2012-03-26, Mean VisibilityMiles,10
2012-03-26,Max Humidity,96
2012-03-26, Mean Sea Level PressureIn,30.18
2012-03-26, CloudCover,2
2012-03-26, Min VisibilityMiles,9
2012-03-26,Max TemperatureF,63
2012-03-26, Mean Wind SpeedMPH,9
2012-03-26,Min DewpointF,30
2012-03-26, Max Wind SpeedMPH,17
2012-03-26,Max Dew PointF,52
2012-03-26, Min Sea Level PressureIn,30.05
2012-03-26, Max Sea Level PressureIn,30.26
2012-03-26, Min Humidity,32
2012-03-26,PrecipitationIn,0.00
2012-03-26, Mean Humidity,64
2012-03-26, WindDirDegrees,48
2012-03-26, Max Gust SpeedMPH,22.0
2012-03-26,Min TemperatureF,44
2012-03-26,Mean TemperatureF,54
2012-03-27, Min Sea Level PressureIn,29.98
2012-03-27, Min VisibilityMiles,10
2012-03-27, CloudCover,0
2012-03-27,Min TemperatureF,38
2012-03-27,MeanDew PointF,32
2012-03-27,Min DewpointF,25
2012-03-27, WindDirDegrees,140
2012-03-27, Mean Wind SpeedMPH,8
2012-03-27,Max TemperatureF,70
2012-03-27,Max Dew PointF,42
2012-03-27, Max Gust SpeedMPH,20.0
2012-03-27, Mean Humidity,46
2012-03-27,Mean TemperatureF,54
2012-03-27,Max Humidity,64
2012-03-27, Mean VisibilityMiles,10
2012-03-27, Min Humidity,27
2012-03-27,PrecipitationIn,0.00
2012-03-27, Max Sea Level PressureIn,30.26
2012-03-27, Mean Sea Level PressureIn,30.15
2012-03-27, Max VisibilityMiles,10
2012-03-27, Max Wind SpeedMPH,15
2012-03-28, Max Sea Level PressureIn,29.97
2012-03-28, Min Sea Level PressureIn,29.9
2012-03-28, Mean Wind SpeedMPH,9
2012-03-28, WindDirDegrees,269
2012-03-28,MeanDew PointF,46
2012-03-28,PrecipitationIn,T
2012-03-28,Max TemperatureF,77
2012-03-28, Mean Sea Level PressureIn,29.93
2012-03-28,Min TemperatureF,51
2012-03-28, Mean VisibilityMiles,10
2012-03-28,Min DewpointF,33
2012-03-28, CloudCover,2
2012-03-28,Mean TemperatureF,64
2012-03-28,Max Humidity,73
2012-03-28, Min Humidity,21
2012-03-28, Min VisibilityMiles,10
2012-03-28,Max Dew PointF,56
2012-03-28, Max VisibilityMiles,10
2012-03-28, Mean Humidity,47
2012-03-28, Max Gust SpeedMPH,25.0
2012-03-28, Max Wind SpeedMPH,20
2012-03-28, Events,Thunderstorm
2012-03-29, Min Humidity,34
2012-03-29, Min Sea Level PressureIn,29.94
2012-03-29, Mean VisibilityMiles,10
2012-03-29, Min VisibilityMiles,10
2012-03-29,Max Dew PointF,45
2012-03-29,Min TemperatureF,46
2012-03-29, Max Gust SpeedMPH,17.0
2012-03-29, Mean Wind SpeedMPH,6
2012-03-29,PrecipitationIn,T
2012-03-29, Events,Rain
2012-03-29, Mean Sea Level PressureIn,30.0
2012-03-29, WindDirDegrees,84
2012-03-29,MeanDew PointF,39
2012-03-29, Max Wind SpeedMPH,14
2012-03-29, Max Sea Level PressureIn,30.08
2012-03-29,Max Humidity,76
2012-03-29,Min DewpointF,35
2012-03-29, Max VisibilityMiles,10
2012-03-29, CloudCover,2
2012-03-29, Mean Humidity,55
2012-03-29,Mean TemperatureF,58
2012-03-29,Max TemperatureF,69
2012-03-30, Max Wind SpeedMPH,25
2012-03-30, Max Sea Level PressureIn,29.93
2012-03-30, Mean Wind SpeedMPH,11
2012-03-30, Min VisibilityMiles,10
2012-03-30,Max Humidity,78
2012-03-30,MeanDew PointF,50
2012-03-30, Mean Humidity,59
2012-03-30, Max VisibilityMiles,10
2012-03-30,Mean TemperatureF,66
2012-03-30, Max Gust SpeedMPH,37.0
2012-03-30, Events,Rain-Thunderstorm
2012-03-30, Min Sea Level PressureIn,29.66
2012-03-30, Mean Sea Level PressureIn,29.79
2012-03-30, CloudCover,4
2012-03-30,Max Dew PointF,61
2012-03-30,PrecipitationIn,0.01
2012-03-30, WindDirDegrees,182
2012-03-30,Min TemperatureF,51
2012-03-30, Min Humidity,39
2012-03-30,Min DewpointF,42
2012-03-30, Mean VisibilityMiles,10
2012-03-30,Max TemperatureF,81
2012-03-31, WindDirDegrees,28
2012-03-31, CloudCover,4
2012-03-31, Min Sea Level PressureIn,29.8
2012-03-31,Min DewpointF,44
2012-03-31, Max Gust SpeedMPH,16.0
2012-03-31,Max Dew PointF,54
2012-03-31,Mean TemperatureF,58
2012-03-31, Min Humidity,48
2012-03-31,PrecipitationIn,0.00
2012-03-31, Max VisibilityMiles,10
2012-03-31, Max Wind SpeedMPH,13
2012-03-31, Min VisibilityMiles,4
2012-03-31,Max Humidity,93
2012-03-31, Max Sea Level PressureIn,29.91
2012-03-31,Min TemperatureF,49
2012-03-31, Mean Sea Level PressureIn,29.87
2012-03-31,Max TemperatureF,66
2012-03-31, Mean VisibilityMiles,8
2012-03-31, Mean Humidity,71
2012-03-31, Mean Wind SpeedMPH,6
2012-03-31,MeanDew PointF,47
2012-04-01, CloudCover,4
2012-04-01,Max Humidity,96
2012-04-01, Max VisibilityMiles,10
2012-04-01, Max Sea Level PressureIn,29.89
2012-04-01, Events,Rain-Thunderstorm
2012-04-01, Mean Sea Level PressureIn,29.78
2012-04-01, Max Wind SpeedMPH,24
2012-04-01,Min TemperatureF,48
2012-04-01,MeanDew PointF,52
2012-04-01,Max TemperatureF,79
2012-04-01,PrecipitationIn,0.51
2012-04-01, Mean VisibilityMiles,6
2012-04-01, Min Humidity,54
2012-04-01, Mean Humidity,75
2012-04-01,Mean TemperatureF,64
2012-04-01,Max Dew PointF,62
2012-04-01, Max Gust SpeedMPH,31.0
2012-04-01,Min DewpointF,44
2012-04-01, Mean Wind SpeedMPH,7
2012-04-01, Min Sea Level PressureIn,29.65
2012-04-01, WindDirDegrees,169
2012-04-02, Min Sea Level PressureIn,29.66
2012-04-02, Min Humidity,48
2012-04-02, Max Sea Level PressureIn,29.9
2012-04-02,Mean TemperatureF,62
2012-04-02,Min DewpointF,45
2012-04-02,Max Dew PointF,60
2012-04-02,Max TemperatureF,68
2012-04-02, Max VisibilityMiles,10
2012-04-02,PrecipitationIn,0.01
2012-04-02, WindDirDegrees,109
2012-04-02, Mean Sea Level PressureIn,29.81
2012-04-02,MeanDew PointF,51
2012-04-02,Max Humidity,97
2012-04-02, Max Gust SpeedMPH,21.0
2012-04-02,Min TemperatureF,55
2012-04-02, Min VisibilityMiles,5
2012-04-02, Mean VisibilityMiles,9
2012-04-02, CloudCover,3
2012-04-02, Max Wind SpeedMPH,16
2012-04-02, Mean Humidity,73
2012-04-02, Mean Wind SpeedMPH,9
2012-04-03, Max Gust SpeedMPH,18.0
2012-04-03, Mean VisibilityMiles,10
2012-04-03, Min VisibilityMiles,10
2012-04-03, Min Sea Level PressureIn,29.78
2012-04-03,PrecipitationIn,0.00
2012-04-03, WindDirDegrees,188
2012-04-03,MeanDew PointF,51
2012-04-03,Mean TemperatureF,69
2012-04-03, Mean Wind SpeedMPH,6
2012-04-03, Max Sea Level PressureIn,29.92
2012-04-03, Mean Humidity,53
2012-04-03,Max Dew PointF,60
2012-04-03,Max Humidity,66
2012-04-03, Max Wind SpeedMPH,14
2012-04-03, Min Humidity,40
2012-04-03,Max TemperatureF,84
2012-04-03, Mean Sea Level PressureIn,29.85
2012-04-03, Max VisibilityMiles,10
2012-04-03,Min TemperatureF,53
2012-04-03, CloudCover,0
2012-04-03,Min DewpointF,41
2012-04-04, Min Humidity,57
2012-04-04,PrecipitationIn,0.01
2012-04-04,Min DewpointF,42
2012-04-04, CloudCover,6
2012-04-04, Mean Sea Level PressureIn,29.79
2012-04-04,Max TemperatureF,68
2012-04-04, Events,Rain-Thunderstorm
2012-04-04, Min Sea Level PressureIn,29.76
2012-04-04, Max Gust SpeedMPH,18.0
2012-04-04, Mean Humidity,74
2012-04-04,MeanDew PointF,54
2012-04-04, Mean VisibilityMiles,8
2012-04-04,Max Dew PointF,59
2012-04-04,Mean TemperatureF,62
2012-04-04,Max Humidity,90
2012-04-04,Min TemperatureF,55
2012-04-04, Mean Wind SpeedMPH,7
2012-04-04, Min VisibilityMiles,3
2012-04-04, WindDirDegrees,42
2012-04-04, Max Sea Level PressureIn,29.82
2012-04-04, Max VisibilityMiles,10
2012-04-04, Max Wind SpeedMPH,15
2012-04-05, Max Wind SpeedMPH,20
2012-04-05, Mean VisibilityMiles,9
2012-04-05, Mean Humidity,64
2012-04-05, Max Gust SpeedMPH,28.0
2012-04-05,Min TemperatureF,44
2012-04-05, Mean Sea Level PressureIn,29.87
2012-04-05, Events,Rain
2012-04-05,MeanDew PointF,35
2012-04-05,Min DewpointF,30
2012-04-05, Max Sea Level PressureIn,30.01
2012-04-05,PrecipitationIn,0.69
2012-04-05,Max TemperatureF,61
2012-04-05, Min VisibilityMiles,2
2012-04-05, CloudCover,3
2012-04-05, WindDirDegrees,66
2012-04-05,Max Humidity,92
2012-04-05,Mean TemperatureF,53
2012-04-05, Min Sea Level PressureIn,29.77
2012-04-05, Min Humidity,36
2012-04-05, Mean Wind SpeedMPH,12
2012-04-05, Max VisibilityMiles,10
2012-04-05,Max Dew PointF,43
2012-04-06,MeanDew PointF,31
2012-04-06,Min TemperatureF,35
2012-04-06,Max TemperatureF,61
2012-04-06, Max Gust SpeedMPH,22.0
2012-04-06, Min Sea Level PressureIn,30.03
2012-04-06,Min DewpointF,28
2012-04-06, Mean Sea Level PressureIn,30.16
2012-04-06, Max VisibilityMiles,10
2012-04-06, Mean Humidity,56
2012-04-06, CloudCover,0
2012-04-06, Max Wind SpeedMPH,16
2012-04-06, WindDirDegrees,55
2012-04-06,Mean TemperatureF,48
2012-04-06,PrecipitationIn,0.00
2012-04-06, Min VisibilityMiles,10
2012-04-06, Max Sea Level PressureIn,30.21
2012-04-06, Mean VisibilityMiles,10
2012-04-06, Mean Wind SpeedMPH,8
2012-04-06, Min Humidity,32
2012-04-06,Max Humidity,79
2012-04-06,Max Dew PointF,35
2012-04-07,Max Dew PointF,43
2012-04-07, Max VisibilityMiles,10
2012-04-07, Min Sea Level PressureIn,30.16
2012-04-07,Min TemperatureF,32
2012-04-07, Mean VisibilityMiles,10
2012-04-07, Min VisibilityMiles,10
2012-04-07, Min Humidity,22
2012-04-07,MeanDew PointF,31
2012-04-07,PrecipitationIn,0.00
2012-04-07, Mean Humidity,52
2012-04-07, Max Wind SpeedMPH,10
2012-04-07,Min DewpointF,26
2012-04-07,Max TemperatureF,67
2012-04-07, Max Sea Level PressureIn,30.3
2012-04-07,Mean TemperatureF,50
2012-04-07, WindDirDegrees,131
2012-04-07,Max Humidity,82
2012-04-07, Max Gust SpeedMPH,14.0
2012-04-07, Mean Wind SpeedMPH,3
2012-04-07, Mean Sea Level PressureIn,30.23
2012-04-08, Min Humidity,19
2012-04-08, WindDirDegrees,325
2012-04-08, Mean Wind SpeedMPH,7
2012-04-08, Mean Humidity,48
2012-04-08, CloudCover,2
2012-04-08,MeanDew PointF,34
2012-04-08, Max Gust SpeedMPH,33.0
2012-04-08, Min VisibilityMiles,10
2012-04-08, Max Sea Level PressureIn,30.27
2012-04-08, Min Sea Level PressureIn,30.15
2012-04-08,Min DewpointF,20
2012-04-08, Max Wind SpeedMPH,21
2012-04-08, Mean Sea Level PressureIn,30.19
2012-04-08, Max VisibilityMiles,10
2012-04-08,Min TemperatureF,45
2012-04-08, Mean VisibilityMiles,10
2012-04-08,PrecipitationIn,T
2012-04-08, Events,Rain
2012-04-08,Max Dew PointF,46
2012-04-08,Mean TemperatureF,56
2012-04-08,Max TemperatureF,66
2012-04-08,Max Humidity,77
2012-04-09, Mean VisibilityMiles,10
2012-04-09, Max Sea Level PressureIn,30.14
2012-04-09, Mean Wind SpeedMPH,10
2012-04-09, Min VisibilityMiles,10
2012-04-09, Min Humidity,16
2012-04-09,PrecipitationIn,0.00
2012-04-09,Mean TemperatureF,55
2012-04-09,Min TemperatureF,43
2012-04-09,Max Humidity,58
2012-04-09, WindDirDegrees,282
2012-04-09,MeanDew PointF,26
2012-04-09, CloudCover,0
2012-04-09, Mean Humidity,37
2012-04-09,Max Dew PointF,36
2012-04-09, Max VisibilityMiles,10
2012-04-09, Mean Sea Level PressureIn,30.03
2012-04-09, Max Wind SpeedMPH,23
2012-04-09,Min DewpointF,18
2012-04-09, Min Sea Level PressureIn,29.96
2012-04-09, Max Gust SpeedMPH,32.0
2012-04-09,Max TemperatureF,67
2012-04-10,Mean TemperatureF,44
2012-04-10, Min VisibilityMiles,10
2012-04-10,Max TemperatureF,54
2012-04-10, Min Sea Level PressureIn,29.99
2012-04-10,PrecipitationIn,0.00
2012-04-10,Max Dew PointF,29
2012-04-10, Mean Humidity,41
2012-04-10, Mean Sea Level PressureIn,30.05
2012-04-10, CloudCover,0
2012-04-10, Max Wind SpeedMPH,21
2012-04-10,Min DewpointF,15
2012-04-10, WindDirDegrees,315
2012-04-10,MeanDew PointF,23
2012-04-10, Max Gust SpeedMPH,33.0
2012-04-10, Mean VisibilityMiles,10
2012-04-10,Max Humidity,59
2012-04-10, Max Sea Level PressureIn,30.1
2012-04-10, Mean Wind SpeedMPH,7
2012-04-10,Min TemperatureF,34
2012-04-10, Min Humidity,22
2012-04-10, Max VisibilityMiles,10
2012-04-11, Mean Humidity,59
2012-04-11,Max TemperatureF,55
2012-04-11,Max Humidity,85
2012-04-11,Max Dew PointF,29
2012-04-11,Mean TemperatureF,41
2012-04-11, Max VisibilityMiles,10
2012-04-11, Min Humidity,32
2012-04-11,PrecipitationIn,0.00
2012-04-11, Max Sea Level PressureIn,30.26
2012-04-11, Mean Sea Level PressureIn,30.21
2012-04-11,Min TemperatureF,27
2012-04-11,Min DewpointF,22
2012-04-11, Min VisibilityMiles,10
2012-04-11, Min Sea Level PressureIn,30.13
2012-04-11, Mean VisibilityMiles,10
2012-04-11, Mean Wind SpeedMPH,5
2012-04-11, Max Gust SpeedMPH,22.0
2012-04-11, Max Wind SpeedMPH,16
2012-04-11,MeanDew PointF,25
2012-04-11, WindDirDegrees,11
2012-04-12, Min Humidity,26
2012-04-12, Max Sea Level PressureIn,30.31
2012-04-12, Mean Wind SpeedMPH,2
2012-04-12,Max TemperatureF,61
2012-04-12,Mean TemperatureF,45
2012-04-12, Max VisibilityMiles,10
2012-04-12,Max Dew PointF,34
2012-04-12, Max Gust SpeedMPH,16.0
2012-04-12,Max Humidity,92
